idQuestionFormats,"questionFormat","answerFormat","userResponseType"
1,"Is [COURSE_NUM] going to be offered next quarter?","[UNKNOWN]","QUESTION"
2,"Is [COURSE_DEPT][COURSE_NUM] going to be offered next quarter?","[UNKNOWN]","QUESTION"
3,"Is [COURSE_DEPT]_[COURSE_NUM] going to be offered next quarter?","[UNKNOWN]","QUESTION"
4,"Is [COURSE_DEPT] [COURSE_NUM] going to be offered next quarter?","[UNKNOWN]","QUESTION"
5,"Is [COURSE_DEPT]-[COURSE_NUM] going to be offered next quarter?","[UNKNOWN]","QUESTION"
6,"Is [COURSE_NUM] currently offered?","[UNKNOWN]","QUESTION"
7,"Is [COURSE_DEPT][COURSE_NUM] currently offered?","[UNKNOWN]","QUESTION"
8,"Is [COURSE_DEPT]_[COURSE_NUM] currently offered?","[UNKNOWN]","QUESTION"
9,"Is [COURSE_DEPT] [COURSE_NUM] currently offered?","[UNKNOWN]","QUESTION"
10,"Is [COURSE_DEPT]-[COURSE_NUM] currently offered?","[UNKNOWN]","QUESTION"
11,"Does [COURSE_NUM] require consent of instructor?","[UNKNOWN]","QUESTION"
12,"Does [COURSE_DEPT][COURSE_NUM] require consent of instructor?","[UNKNOWN]","QUESTION"
13,"Does [COURSE_DEPT]_[COURSE_NUM] require consent of instructor?","[UNKNOWN]","QUESTION"
14,"Does [COURSE_DEPT] [COURSE_NUM] require consent of instructor?","[UNKNOWN]","QUESTION"
15,"Does [COURSE_DEPT]-[COURSE_NUM] require consent of instructor?","[UNKNOWN]","QUESTION"
16,"Does [COURSE_NUM] require consent of instructor?","[UNKNOWN]","QUESTION"
17,"Does [COURSE_DEPT][COURSE_NUM] require consent of instructor?","[UNKNOWN]","QUESTION"
18,"Does [COURSE_DEPT]_[COURSE_NUM] require consent of instructor?","[UNKNOWN]","QUESTION"
19,"Does [COURSE_DEPT] [COURSE_NUM] require consent of instructor?","[UNKNOWN]","QUESTION"
20,"Does [COURSE_DEPT]-[COURSE_NUM] require consent of instructor?","[UNKNOWN]","QUESTION"
21,"Can I get into [COURSE_NUM] with instructor's consent?","[UNKNOWN]","QUESTION"
22,"Can I get into [COURSE_DEPT][COURSE_NUM] with instructor's consent?","[UNKNOWN]","QUESTION"
23,"Can I get into [COURSE_DEPT]_[COURSE_NUM] with instructor's consent?","[UNKNOWN]","QUESTION"
24,"Can I get into [COURSE_DEPT] [COURSE_NUM] with instructor's consent?","[UNKNOWN]","QUESTION"
25,"Can I get into [COURSE_DEPT]-[COURSE_NUM] with instructor's consent?","[UNKNOWN]","QUESTION"
26,"Can I get into [COURSE_NUM] with instructor's consent?","[UNKNOWN]","QUESTION"
27,"Can I get into [COURSE_DEPT][COURSE_NUM] with instructor's consent?","[UNKNOWN]","QUESTION"
28,"Can I get into [COURSE_DEPT]_[COURSE_NUM] with instructor's consent?","[UNKNOWN]","QUESTION"
29,"Can I get into [COURSE_DEPT] [COURSE_NUM] with instructor's consent?","[UNKNOWN]","QUESTION"
30,"Can I get into [COURSE_DEPT]-[COURSE_NUM] with instructor's consent?","[UNKNOWN]","QUESTION"
31,"Does [COURSE_NUM] have an upper divisional prerequisite?","[LIST:PREREQ]","QUESTION"
32,"Does [COURSE_DEPT][COURSE_NUM] have an upper divisional prerequisite?","[LIST:PREREQ]","QUESTION"
33,"Does [COURSE_DEPT]_[COURSE_NUM] have an upper divisional prerequisite?","[LIST:PREREQ]","QUESTION"
34,"Does [COURSE_DEPT] [COURSE_NUM] have an upper divisional prerequisite?","[LIST:PREREQ]","QUESTION"
35,"Does [COURSE_DEPT]-[COURSE_NUM] have an upper divisional prerequisite?","[LIST:PREREQ]","QUESTION"
36,"Does [COURSE_NUM] have an upper divisional prerequisite?","[LIST:PREREQ]","QUESTION"
37,"Does [COURSE_DEPT][COURSE_NUM] have an upper divisional prerequisite?","[LIST:PREREQ]","QUESTION"
38,"Does [COURSE_DEPT]_[COURSE_NUM] have an upper divisional prerequisite?","[LIST:PREREQ]","QUESTION"
39,"Does [COURSE_DEPT] [COURSE_NUM] have an upper divisional prerequisite?","[LIST:PREREQ]","QUESTION"
40,"Does [COURSE_DEPT]-[COURSE_NUM] have an upper divisional prerequisite?","[LIST:PREREQ]","QUESTION"
41,"Is [COURSE_NUM] limited in total credit?","[COURSE_UNITS]","QUESTION"
42,"Is [COURSE_DEPT][COURSE_NUM] limited in total credit?","[COURSE_UNITS]","QUESTION"
43,"Is [COURSE_DEPT]_[COURSE_NUM] limited in total credit?","[COURSE_UNITS]","QUESTION"
44,"Is [COURSE_DEPT] [COURSE_NUM] limited in total credit?","[COURSE_UNITS]","QUESTION"
45,"Is [COURSE_DEPT]-[COURSE_NUM] limited in total credit?","[COURSE_UNITS]","QUESTION"
46,"Is [COURSE_NUM] limited in total credit?","[COURSE_UNITS]","QUESTION"
47,"Is [COURSE_DEPT][COURSE_NUM] limited in total credit?","[COURSE_UNITS]","QUESTION"
48,"Is [COURSE_DEPT]_[COURSE_NUM] limited in total credit?","[COURSE_UNITS]","QUESTION"
49,"Is [COURSE_DEPT] [COURSE_NUM] limited in total credit?","[COURSE_UNITS]","QUESTION"
50,"Is [COURSE_DEPT]-[COURSE_NUM] limited in total credit?","[COURSE_UNITS]","QUESTION"
51,"Can I select [COURSE_NUM] as a tech elective?","[UNKNOWN]","QUESTION"
52,"Can I select [COURSE_DEPT][COURSE_NUM] as a tech elective?","[UNKNOWN]","QUESTION"
53,"Can I select [COURSE_DEPT]_[COURSE_NUM] as a tech elective?","[UNKNOWN]","QUESTION"
54,"Can I select [COURSE_DEPT] [COURSE_NUM] as a tech elective?","[UNKNOWN]","QUESTION"
55,"Can I select [COURSE_DEPT]-[COURSE_NUM] as a tech elective?","[UNKNOWN]","QUESTION"
56,"Is [COURSE_NUM] crosslisted in another department?","[COURSE_CROSSLISTEDAS]","QUESTION"
57,"Is [COURSE_DEPT][COURSE_NUM] crosslisted in another department?","[COURSE_CROSSLISTEDAS]","QUESTION"
58,"Is [COURSE_DEPT]_[COURSE_NUM] crosslisted in another department?","[COURSE_CROSSLISTEDAS]","QUESTION"
59,"Is [COURSE_DEPT] [COURSE_NUM] crosslisted in another department?","[COURSE_CROSSLISTEDAS]","QUESTION"
60,"Is [COURSE_DEPT]-[COURSE_NUM] crosslisted in another department?","[COURSE_CROSSLISTEDAS]","QUESTION"
61,"Is [COURSE_NUM] crosslisted in another department?","[COURSE_CROSSLISTEDAS]","QUESTION"
62,"Is [COURSE_DEPT][COURSE_NUM] crosslisted in another department?","[COURSE_CROSSLISTEDAS]","QUESTION"
63,"Is [COURSE_DEPT]_[COURSE_NUM] crosslisted in another department?","[COURSE_CROSSLISTEDAS]","QUESTION"
64,"Is [COURSE_DEPT] [COURSE_NUM] crosslisted in another department?","[COURSE_CROSSLISTEDAS]","QUESTION"
65,"Is [COURSE_DEPT]-[COURSE_NUM] crosslisted in another department?","[COURSE_CROSSLISTEDAS]","QUESTION"
66,"Is [COURSE_NUM] credit/no credit grading only?","[UNKNOWN]","QUESTION"
67,"Is [COURSE_DEPT][COURSE_NUM] credit/no credit grading only?","[UNKNOWN]","QUESTION"
68,"Is [COURSE_DEPT]_[COURSE_NUM] credit/no credit grading only?","[UNKNOWN]","QUESTION"
69,"Is [COURSE_DEPT] [COURSE_NUM] credit/no credit grading only?","[UNKNOWN]","QUESTION"
70,"Is [COURSE_DEPT]-[COURSE_NUM] credit/no credit grading only?","[UNKNOWN]","QUESTION"
71,"Is [COURSE_NUM] credit/no credit grading only?","[UNKNOWN]","QUESTION"
72,"Is [COURSE_DEPT][COURSE_NUM] credit/no credit grading only?","[UNKNOWN]","QUESTION"
73,"Is [COURSE_DEPT]_[COURSE_NUM] credit/no credit grading only?","[UNKNOWN]","QUESTION"
74,"Is [COURSE_DEPT] [COURSE_NUM] credit/no credit grading only?","[UNKNOWN]","QUESTION"
75,"Is [COURSE_DEPT]-[COURSE_NUM] credit/no credit grading only?","[UNKNOWN]","QUESTION"
76,"Does [COURSE_NUM] include group work?","[UNKNOWN]","QUESTION"
77,"Does [COURSE_DEPT][COURSE_NUM] include group work?","[UNKNOWN]","QUESTION"
78,"Does [COURSE_DEPT]_[COURSE_NUM] include group work?","[UNKNOWN]","QUESTION"
79,"Does [COURSE_DEPT] [COURSE_NUM] include group work?","[UNKNOWN]","QUESTION"
80,"Does [COURSE_DEPT]-[COURSE_NUM] include group work?","[UNKNOWN]","QUESTION"
81,"Is [COURSE_NUM] project based?","This is Cal Poly. Learn by doing.","QUESTION"
82,"Is [COURSE_DEPT][COURSE_NUM] project based?","This is Cal Poly. Learn by doing.","QUESTION"
83,"Is [COURSE_DEPT]_[COURSE_NUM] project based?","This is Cal Poly. Learn by doing.","QUESTION"
84,"Is [COURSE_DEPT] [COURSE_NUM] project based?","This is Cal Poly. Learn by doing.","QUESTION"
85,"Is [COURSE_DEPT]-[COURSE_NUM] project based?","This is Cal Poly. Learn by doing.","QUESTION"
86,"Can I take [COURSE_NUM] credit no credit?","[UNKNOWN]","QUESTION"
87,"Can I take [COURSE_DEPT][COURSE_NUM] credit no credit?","[UNKNOWN]","QUESTION"
88,"Can I take [COURSE_DEPT]_[COURSE_NUM] credit no credit?","[UNKNOWN]","QUESTION"
89,"Can I take [COURSE_DEPT] [COURSE_NUM] credit no credit?","[UNKNOWN]","QUESTION"
90,"Can I take [COURSE_DEPT]-[COURSE_NUM] credit no credit?","[UNKNOWN]","QUESTION"
91,"Can I take [COURSE_NUM] pass-fail?","[UNKNOWN]","QUESTION"
92,"Can I take [COURSE_DEPT][COURSE_NUM] pass-fail?","[UNKNOWN]","QUESTION"
93,"Can I take [COURSE_DEPT]_[COURSE_NUM] pass-fail?","[UNKNOWN]","QUESTION"
94,"Can I take [COURSE_DEPT] [COURSE_NUM] pass-fail?","[UNKNOWN]","QUESTION"
95,"Can I take [COURSE_DEPT]-[COURSE_NUM] pass-fail?","[UNKNOWN]","QUESTION"
96,"Is [COURSE_NUM] a required course?","[UNKNOWN]","QUESTION"
97,"Is [COURSE_DEPT][COURSE_NUM] a required course?","[UNKNOWN]","QUESTION"
98,"Is [COURSE_DEPT]_[COURSE_NUM] a required course?","[UNKNOWN]","QUESTION"
99,"Is [COURSE_DEPT] [COURSE_NUM] a required course?","[UNKNOWN]","QUESTION"
100,"Is [COURSE_DEPT]-[COURSE_NUM] a required course?","[UNKNOWN]","QUESTION"
101,"Do I have to take [COURSE_NUM]?","[UNKNOWN]","QUESTION"
102,"Do I have to take [COURSE_DEPT][COURSE_NUM]?","[UNKNOWN]","QUESTION"
103,"Do I have to take [COURSE_DEPT]_[COURSE_NUM]?","[UNKNOWN]","QUESTION"
104,"Do I have to take [COURSE_DEPT] [COURSE_NUM]?","[UNKNOWN]","QUESTION"
105,"Do I have to take [COURSE_DEPT]-[COURSE_NUM]?","[UNKNOWN]","QUESTION"
106,"How many hours a week is [COURSE_NUM]?","Course is [COURSE_UNITS] units.","QUESTION"
107,"How many hours a week is [COURSE_DEPT][COURSE_NUM]?","Course is [COURSE_UNITS] units.","QUESTION"
108,"How many hours a week is [COURSE_DEPT]_[COURSE_NUM]?","Course is [COURSE_UNITS] units.","QUESTION"
109,"How many hours a week is [COURSE_DEPT] [COURSE_NUM]?","Course is [COURSE_UNITS] units.","QUESTION"
110,"How many hours a week is [COURSE_DEPT]-[COURSE_NUM]?","Course is [COURSE_UNITS] units.","QUESTION"
111,"How much time is spent in [COURSE_NUM] per week?","Course is [COURSE_UNITS] units.","QUESTION"
112,"How much time is spent in [COURSE_DEPT][COURSE_NUM] per week?","Course is [COURSE_UNITS] units.","QUESTION"
113,"How much time is spent in [COURSE_DEPT]_[COURSE_NUM] per week?","Course is [COURSE_UNITS] units.","QUESTION"
114,"How much time is spent in [COURSE_DEPT] [COURSE_NUM] per week?","Course is [COURSE_UNITS] units.","QUESTION"
115,"How much time is spent in [COURSE_DEPT]-[COURSE_NUM] per week?","Course is [COURSE_UNITS] units.","QUESTION"
116,"How many times is [COURSE_NUM] offered per year?","[BIT_COUNT:COURSE_TERMSOFFERED]","QUESTION"
117,"How many times is [COURSE_DEPT][COURSE_NUM] offered per year?","[BIT_COUNT:COURSE_TERMSOFFERED]","QUESTION"
118,"How many times is [COURSE_DEPT]_[COURSE_NUM] offered per year?","[BIT_COUNT:COURSE_TERMSOFFERED]","QUESTION"
119,"How many times is [COURSE_DEPT] [COURSE_NUM] offered per year?","[BIT_COUNT:COURSE_TERMSOFFERED]","QUESTION"
120,"How many times is [COURSE_DEPT]-[COURSE_NUM] offered per year?","[BIT_COUNT:COURSE_TERMSOFFERED]","QUESTION"
121,"In how many quarters is [COURSE_NUM] offered?","[BIT_COUNT:COURSE_TERMSOFFERED]","QUESTION"
122,"In how many quarters is [COURSE_DEPT][COURSE_NUM] offered?","[BIT_COUNT:COURSE_TERMSOFFERED]","QUESTION"
123,"In how many quarters is [COURSE_DEPT]_[COURSE_NUM] offered?","[BIT_COUNT:COURSE_TERMSOFFERED]","QUESTION"
124,"In how many quarters is [COURSE_DEPT] [COURSE_NUM] offered?","[BIT_COUNT:COURSE_TERMSOFFERED]","QUESTION"
125,"In how many quarters is [COURSE_DEPT]-[COURSE_NUM] offered?","[BIT_COUNT:COURSE_TERMSOFFERED]","QUESTION"
126,"When is [COURSE_NUM] offered?","[COURSE_TERMSOFFERED]","QUESTION"
127,"When is [COURSE_DEPT][COURSE_NUM] offered?","[COURSE_TERMSOFFERED]","QUESTION"
128,"When is [COURSE_DEPT]_[COURSE_NUM] offered?","[COURSE_TERMSOFFERED]","QUESTION"
129,"When is [COURSE_DEPT] [COURSE_NUM] offered?","[COURSE_TERMSOFFERED]","QUESTION"
130,"When is [COURSE_DEPT]-[COURSE_NUM] offered?","[COURSE_TERMSOFFERED]","QUESTION"
131,"When is [COURSE_NUM] available?","[COURSE_TERMSOFFERED]","QUESTION"
132,"When is [COURSE_DEPT][COURSE_NUM] available?","[COURSE_TERMSOFFERED]","QUESTION"
133,"When is [COURSE_DEPT]_[COURSE_NUM] available?","[COURSE_TERMSOFFERED]","QUESTION"
134,"When is [COURSE_DEPT] [COURSE_NUM] available?","[COURSE_TERMSOFFERED]","QUESTION"
135,"When is [COURSE_DEPT]-[COURSE_NUM] available?","[COURSE_TERMSOFFERED]","QUESTION"
136,"When can I take [COURSE_NUM]?","[COURSE_TERMSOFFERED]","QUESTION"
137,"When can I take [COURSE_DEPT][COURSE_NUM]?","[COURSE_TERMSOFFERED]","QUESTION"
138,"When can I take [COURSE_DEPT]_[COURSE_NUM]?","[COURSE_TERMSOFFERED]","QUESTION"
139,"When can I take [COURSE_DEPT] [COURSE_NUM]?","[COURSE_TERMSOFFERED]","QUESTION"
140,"When can I take [COURSE_DEPT]-[COURSE_NUM]?","[COURSE_TERMSOFFERED]","QUESTION"
141,"Does [COURSE_NUM] fulfill more than one requirement?","[UNKNOWN]","QUESTION"
142,"Does [COURSE_DEPT][COURSE_NUM] fulfill more than one requirement?","[UNKNOWN]","QUESTION"
143,"Does [COURSE_DEPT]_[COURSE_NUM] fulfill more than one requirement?","[UNKNOWN]","QUESTION"
144,"Does [COURSE_DEPT] [COURSE_NUM] fulfill more than one requirement?","[UNKNOWN]","QUESTION"
145,"Does [COURSE_DEPT]-[COURSE_NUM] fulfill more than one requirement?","[UNKNOWN]","QUESTION"
146,"How many units is [COURSE_NUM]?","[COURSE_UNITS]","QUESTION"
147,"How many units is [COURSE_DEPT][COURSE_NUM]?","[COURSE_UNITS]","QUESTION"
148,"How many units is [COURSE_DEPT]_[COURSE_NUM]?","[COURSE_UNITS]","QUESTION"
149,"How many units is [COURSE_DEPT] [COURSE_NUM]?","[COURSE_UNITS]","QUESTION"
150,"How many units is [COURSE_DEPT]-[COURSE_NUM]?","[COURSE_UNITS]","QUESTION"
151,"How many units does [COURSE_NUM] have?","[COURSE_UNITS]","QUESTION"
152,"How many units does [COURSE_DEPT][COURSE_NUM] have?","[COURSE_UNITS]","QUESTION"
153,"How many units does [COURSE_DEPT]_[COURSE_NUM] have?","[COURSE_UNITS]","QUESTION"
154,"How many units does [COURSE_DEPT] [COURSE_NUM] have?","[COURSE_UNITS]","QUESTION"
155,"How many units does [COURSE_DEPT]-[COURSE_NUM] have?","[COURSE_UNITS]","QUESTION"
156,"How many units does [COURSE_NUM] fulfill?","[COURSE_UNITS]","QUESTION"
157,"How many units does [COURSE_DEPT][COURSE_NUM] fulfill?","[COURSE_UNITS]","QUESTION"
158,"How many units does [COURSE_DEPT]_[COURSE_NUM] fulfill?","[COURSE_UNITS]","QUESTION"
159,"How many units does [COURSE_DEPT] [COURSE_NUM] fulfill?","[COURSE_UNITS]","QUESTION"
160,"How many units does [COURSE_DEPT]-[COURSE_NUM] fulfill?","[COURSE_UNITS]","QUESTION"
161,"Does [COURSE_NUM] fulfill anything?","[UNKNOWN]","QUESTION"
162,"Does [COURSE_DEPT][COURSE_NUM] fulfill anything?","[UNKNOWN]","QUESTION"
163,"Does [COURSE_DEPT]_[COURSE_NUM] fulfill anything?","[UNKNOWN]","QUESTION"
164,"Does [COURSE_DEPT] [COURSE_NUM] fulfill anything?","[UNKNOWN]","QUESTION"
165,"Does [COURSE_DEPT]-[COURSE_NUM] fulfill anything?","[UNKNOWN]","QUESTION"
166,"What requirements does [COURSE_NUM] fulfill?","[UNKNOWN]","QUESTION"
167,"What requirements does [COURSE_DEPT][COURSE_NUM] fulfill?","[UNKNOWN]","QUESTION"
168,"What requirements does [COURSE_DEPT]_[COURSE_NUM] fulfill?","[UNKNOWN]","QUESTION"
169,"What requirements does [COURSE_DEPT] [COURSE_NUM] fulfill?","[UNKNOWN]","QUESTION"
170,"What requirements does [COURSE_DEPT]-[COURSE_NUM] fulfill?","[UNKNOWN]","QUESTION"
171,"How many lectures does [COURSE_NUM] have?","[UNKNOWN]","QUESTION"
172,"How many lectures does [COURSE_DEPT][COURSE_NUM] have?","[UNKNOWN]","QUESTION"
173,"How many lectures does [COURSE_DEPT]_[COURSE_NUM] have?","[UNKNOWN]","QUESTION"
174,"How many lectures does [COURSE_DEPT] [COURSE_NUM] have?","[UNKNOWN]","QUESTION"
175,"How many lectures does [COURSE_DEPT]-[COURSE_NUM] have?","[UNKNOWN]","QUESTION"
176,"How many times a week does [COURSE_NUM] week?","[UNKNOWN]","QUESTION"
177,"How many times a week does [COURSE_DEPT][COURSE_NUM] week?","[UNKNOWN]","QUESTION"
178,"How many times a week does [COURSE_DEPT]_[COURSE_NUM] week?","[UNKNOWN]","QUESTION"
179,"How many times a week does [COURSE_DEPT] [COURSE_NUM] week?","[UNKNOWN]","QUESTION"
180,"How many times a week does [COURSE_DEPT]-[COURSE_NUM] week?","[UNKNOWN]","QUESTION"
181,"How many lectures make up [COURSE_NUM]?","[UNKNOWN]","QUESTION"
182,"How many lectures make up [COURSE_DEPT][COURSE_NUM]?","[UNKNOWN]","QUESTION"
183,"How many lectures make up [COURSE_DEPT]_[COURSE_NUM]?","[UNKNOWN]","QUESTION"
184,"How many lectures make up [COURSE_DEPT] [COURSE_NUM]?","[UNKNOWN]","QUESTION"
185,"How many lectures make up [COURSE_DEPT]-[COURSE_NUM]?","[UNKNOWN]","QUESTION"
186,"Does [COURSE_NUM] have a lab?","[UNKNOWN]","QUESTION"
187,"Does [COURSE_DEPT][COURSE_NUM] have a lab?","[UNKNOWN]","QUESTION"
188,"Does [COURSE_DEPT]_[COURSE_NUM] have a lab?","[UNKNOWN]","QUESTION"
189,"Does [COURSE_DEPT] [COURSE_NUM] have a lab?","[UNKNOWN]","QUESTION"
190,"Does [COURSE_DEPT]-[COURSE_NUM] have a lab?","[UNKNOWN]","QUESTION"
191,"Do I have to take a lab with [COURSE_NUM]?","[UNKNOWN]","QUESTION"
192,"Do I have to take a lab with [COURSE_DEPT][COURSE_NUM]?","[UNKNOWN]","QUESTION"
193,"Do I have to take a lab with [COURSE_DEPT]_[COURSE_NUM]?","[UNKNOWN]","QUESTION"
194,"Do I have to take a lab with [COURSE_DEPT] [COURSE_NUM]?","[UNKNOWN]","QUESTION"
195,"Do I have to take a lab with [COURSE_DEPT]-[COURSE_NUM]?","[UNKNOWN]","QUESTION"
196,"How many labs does [COURSE_NUM] have?","[UNKNOWN]","QUESTION"
197,"How many labs does [COURSE_DEPT][COURSE_NUM] have?","[UNKNOWN]","QUESTION"
198,"How many labs does [COURSE_DEPT]_[COURSE_NUM] have?","[UNKNOWN]","QUESTION"
199,"How many labs does [COURSE_DEPT] [COURSE_NUM] have?","[UNKNOWN]","QUESTION"
200,"How many labs does [COURSE_DEPT]-[COURSE_NUM] have?","[UNKNOWN]","QUESTION"
201,"Does [COURSE_NUM] have any prerequisites?","[LIST:PREREQ]","QUESTION"
202,"Does [COURSE_DEPT][COURSE_NUM] have any prerequisites?","[LIST:PREREQ]","QUESTION"
203,"Does [COURSE_DEPT]_[COURSE_NUM] have any prerequisites?","[LIST:PREREQ]","QUESTION"
